Experiment_id,time_h,time_min,volume_l,air_flow_l_min,sampling_rate_l_min,acid_rate_l_min,base_rate_l_min,initial_biomass_g_l,initial_glucose_mol_l,initial_pH,initial_volume_l,glucose_mol_l,biomass_g_l,O2_l_mol,pH,OUR_mol_min,CER_mol_min,CO2_offgas_fraction,RQ
AMBR1_14,15.1666666666667,910.000000000002,0.184718395280439,0.0793756412705443,0.0,0.0,1.7169374263545636e-06,0.04267000000000001,0.055507449099669176,8.0,0.2,,3.756161039571304,5.143758239297928e-05,7.97627640957831,0.001558485466336585,0.00018366961860356168,0.00755852865360561,0.117852228031494
AMBR1_14,15.25,915.0,0.184721326426015,0.07950957695014109,0.0,0.0,1.6097207578766353e-06,0.04267000000000001,0.055507449099669176,8.0,0.2,,3.7235656567061377,5.14663217171567e-05,7.97518488984587,0.001579794259302727,0.00018409238511188003,0.00758023256287265,0.116533438808254
AMBR1_14,15.3333333333333,919.999999999998,0.18472409088647399,0.0797826637455113,0.0,0.0,1.6164410577787124e-06,0.04267000000000001,0.055507449099669176,8.0,0.2,,3.79373712375239,5.1580963498213495e-05,7.97731757600601,0.0015921236668574202,0.00018523157419931668,0.00763498272338009,0.116345391441152
AMBR1_14,15.4166666666667,925.000000000002,0.18472565157056597,0.0801729657839431,0.0,0.0,1.3342842938288427e-06,0.04267000000000001,0.055507449099669176,8.0,0.2,,3.7189919606241015,5.169263039923478e-05,7.97735800967147,0.0015956736654771585,0.000185794681436675,0.00765709839492797,0.11643804829972
AMBR1_14,15.5,930.0,0.184725492911748,0.08040999192059979,0.0,0.0,1.0120527421744775e-06,0.04267000000000001,0.055507449099669176,8.0,0.2,,3.68830305442172,5.154105705431707e-05,7.97585016287991,0.0016156749995647,0.00018661457244766166,0.00769552228529256,0.115504340050288
AMBR1_14,15.5833333333333,934.999999999998,0.18472516615981602,0.08082698560671879,0.0,0.0,9.761436422083934e-07,0.04267000000000001,0.055507449099669176,8.0,0.2,,3.650536856609698,5.165726254821325e-05,7.97527947588164,0.0016199333836375686,0.0001886443837168,0.00777789929515063,0.116456128824063
AMBR1_14,15.6666666666667,940.000000000002,0.18472515105968798,0.0810172842593805,0.0,0.0,1.0392463957591344e-06,0.04267000000000001,0.055507449099669176,8.0,0.2,,3.6231490138290194,5.1485313787538094e-05,7.97689729243348,0.0016305966000948317,0.0001885979102204833,0.00778173263026849,0.115665407980998
AMBR1_14,15.75,945.0,0.18472333369134,0.0813744832812318,0.0,0.0,6.780164558263134e-07,0.04267000000000001,0.055507449099669176,8.0,0.2,,3.598069322636981,5.185409529371088e-05,7.97554468351467,0.001641405836132895,0.00018957961779229336,0.00782654449206626,0.115502475328803
AMBR1_14,15.8333333333333,949.999999999998,0.184722471943317,0.081711257093354,0.0,0.0,8.484222184863474e-07,0.04267000000000001,0.055507449099669176,8.0,0.2,,3.596790529917024,5.147886632634079e-05,7.97774761612195,0.0016428543251606953,0.000189199531726195,0.00781403228829575,0.115170656261322
AMBR1_14,15.9166666666667,955.000000000002,0.184718538949038,0.0820594380321355,0.0,0.0,2.7436018193775806e-07,0.04267000000000001,0.055507449099669176,8.0,0.2,,3.5864441065092745,5.1571105354211335e-05,7.97517241240238,0.0016515676558885785,0.00019144521751909835,0.00790718546001333,0.11591948404689
AMBR1_14,16.0,960.0,0.18471711290127601,0.08224759954120471,0.0,0.0,7.346002180623211e-07,0.04267000000000001,0.055507449099669176,8.0,0.2,,3.600124520480179,5.144849490234194e-05,7.97846935637239,0.0016795776759556001,0.00018933495223470833,0.00782715704915425,0.112730327407309
AMBR1_14,16.0833333333333,964.999999999998,0.18471191503673198,0.0824833401620311,0.0,0.0,0.0,0.04267000000000001,0.055507449099669176,8.0,0.2,,3.577985079349592,5.163190602833195e-05,7.97416484052261,0.0016796973092093835,0.00019098656310522,0.007896001576628309,0.11371207863645
AMBR1_14,16.1666666666667,970.000000000002,0.184706717614506,0.082722098749101,0.0,0.0,0.0,0.04267000000000001,0.055507449099669176,8.0,0.2,,3.59413849300974,5.1505057622176056e-05,7.97300013864127,0.0016866468316395833,0.00019261581878625832,0.00796771812784013,0.114203647801435
AMBR1_14,16.25,975.0,0.18470152452907002,0.0829663185187399,0.0,0.0,0.0,0.04267000000000001,0.055507449099669176,8.0,0.2,,3.59089112631921,5.138993567867536e-05,7.97222288485479,0.0017057181111125668,0.00019346346903305835,0.008009634446091261,0.11342598074169
AMBR1_14,16.3333333333333,979.999999999998,0.18435566450177898,0.0830361924279882,0.0003000000000001228,0.0,1.318486464839992e-07,0.04267000000000001,0.055507449099669176,8.0,0.2,0.025038990941184308,3.575229532401888,5.130346665777809e-05,7.97437805377371,0.0017236860925993335,0.00019385112210844332,0.0079702179372946,0.112256885380584
