fold_index,seed,split,observable,n,nrmse,mae,r2
17,42,val,biomass_g_l,426,0.0529478432606125,0.4066813886165619,0.8668453693389893
17,42,val,glucose_g_l,18,0.0746873843868037,0.949051288453818,0.5193168088577295
17,42,val,pH,450,0.0992285061153727,0.2028903812170028,0.0
18,42,test,DO_percent,449,0.0897947476363616,11.921993255615234,0.7892055511474609
18,42,test,biomass_g_l,430,0.0611234380496682,0.5359545946121216,0.8253774642944336
18,42,test,glucose_g_l,18,0.0400766198196321,0.5268779348398877,0.9396534947315076
18,42,test,pH,449,0.0747434540217973,0.1553318947553634,0.0
18,42,train,DO_percent,9402,0.0611293169636223,6.00662088394165,0.8853572607040405
18,42,train,biomass_g_l,9143,0.0467618283648822,0.3914850354194641,0.9514907002449036
18,42,train,glucose_g_l,359,0.0295260065939872,0.3512423483862216,0.9788494831828324
18,42,train,pH,9402,0.0563870320228892,0.0865534394979476,0.9537761807441713
18,42,val,DO_percent,501,0.0213956240851661,2.100423574447632,0.0
18,42,val,biomass_g_l,501,0.1192743916215471,1.0855379104614258,0.4685410857200622
18,42,val,glucose_g_l,17,0.0519914230195231,0.7455721127484052,0.9025401694511238
18,42,val,pH,501,0.0670979865628231,0.1371161192655563,0.0
19,42,test,DO_percent,448,0.1281043739843534,14.720720291137695,0.7356629371643066
19,42,test,biomass_g_l,430,0.0432117859362728,0.2813331186771393,0.9286232590675354
19,42,test,glucose_g_l,19,0.0259157963101101,0.367157250718814,0.9777523869573244
19,42,test,pH,448,0.0347008889496904,0.0643292218446731,0.0
19,42,train,DO_percent,9405,0.0667667579466135,6.455271244049072,0.8455942273139954
19,42,train,biomass_g_l,9145,0.0529455407005438,0.4269336462020874,0.9378421902656556
19,42,train,glucose_g_l,358,0.0336123876381074,0.3986657354288753,0.972717874803093
19,42,train,pH,9405,0.0669009160996674,0.1044322326779365,0.9378798007965088
19,42,val,DO_percent,499,0.0773928835304979,9.698147773742676,0.8455371260643005
19,42,val,biomass_g_l,499,0.0746678441514642,0.6226168870925903,0.7388848066329956
19,42,val,glucose_g_l,17,0.0143014764090537,0.1847602082923483,0.9904649337136454
19,42,val,pH,499,0.0553599479225949,0.1121494323015213,0.0
20,42,test,DO_percent,448,0.1463312610373308,16.54436683654785,0.7212838530540466
20,42,test,biomass_g_l,427,0.0402428322905661,0.3399186432361603,0.945984423160553
20,42,test,glucose_g_l,19,0.0283928303509561,0.3821613341047047,0.9717629321308742
20,42,test,pH,448,0.0633417165104755,0.1294442117214203,0.0
20,42,train,DO_percent,9452,0.0805801660132914,6.976423740386963,0.824481189250946
20,42,train,biomass_g_l,9196,0.0545965222584684,0.4614766538143158,0.9321966171264648
20,42,train,glucose_g_l,356,0.0348264679481724,0.4378909430944076,0.9705034445069388
20,42,train,pH,9452,0.0525647981476041,0.0809361562132835,0.9608137011528016
20,42,val,DO_percent,452,0.0293660717334496,1.7918334007263184,0.0
20,42,val,biomass_g_l,451,0.1453905701846232,1.4083619117736816,0.4492532610893249
20,42,val,glucose_g_l,19,0.0446526969170732,0.5686722070535881,0.9338510197975136
20,42,val,pH,452,0.0233446316725321,0.0440980084240436,0.0
21,42,test,DO_percent,448,0.2058110877499805,23.534135818481445,0.445783793926239
21,42,test,biomass_g_l,421,0.067325388778935,0.6288052201271057,0.8806291222572327
21,42,test,glucose_g_l,19,0.0413799110623387,0.6346838457677089,0.9440568622231672
21,42,test,pH,448,0.1262278486738438,0.2599832713603973,0.0
21,42,train,DO_percent,9452,0.0755968224587297,6.52124547958374,0.8410796523094177
21,42,train,biomass_g_l,9202,0.0519245529362719,0.434811919927597,0.9380581974983216
21,42,train,glucose_g_l,356,0.0337556596081614,0.4098348240307365,0.972154401227572
21,42,train,pH,9452,0.0494263292653091,0.0790813267230987,0.965392291545868
21,42,val,DO_percent,452,0.0277708360135837,1.589498519897461,0.0
21,42,val,biomass_g_l,451,0.1423819433873731,1.383002758026123,0.4718110561370849
21,42,val,glucose_g_l,19,0.0409707626726299,0.5200317738490317,0.9443101739528392
21,42,val,pH,452,0.0266322585974416,0.0457663424313068,0.0
